 format: day,hour,forecast,value  location:60_127 Start : 20240101 
 2,1700,+38,20.000000 
 2,1700,+39,20.000000 
 2,1700,+40,20.000000 
 2,1700,+41,30.000000 
 2,1700,+42,30.000000 
 2,1700,+43,30.000000 
 2,1700,+44,30.000000 
 2,1700,+45,30.000000 
 2,1700,+46,30.000000 
 2,1700,+47,30.000000 
 2,1700,+48,30.000000 
 2,1700,+49,30.000000 
 2,1700,+50,30.000000 
 2,1700,+51,30.000000 
 2,1700,+52,30.000000 
 2,1700,+53,30.000000 
 2,1700,+54,30.000000 
 2,1700,+55,30.000000 
 2,1700,+56,30.000000 
 2,1700,+57,30.000000 
 2,1700,+58,30.000000 
 2,1700,+59,30.000000 
 2,1700,+60,20.000000 
 2,1700,+61,20.000000 
 2,1700,+62,0.000000 
 2,1700,+63,0.000000 
 2,1700,+64,0.000000 
 2,1700,+65,0.000000 
 2,1700,+66,0.000000 
 2,1700,+67,0.000000 
 2,1700,+68,0.000000 
 2,1700,+69,0.000000 
 2,1700,+70,0.000000 
 2,2000,+6,30.000000 
 2,2000,+7,60.000000 
 2,2000,+8,60.000000 
 2,2000,+9,30.000000 
 2,2000,+10,30.000000 
 2,2000,+11,30.000000 
 2,2000,+12,30.000000 
 2,2000,+13,20.000000 
 2,2000,+14,0.000000 
 2,2000,+15,0.000000 
 2,2000,+16,0.000000 
 2,2000,+17,0.000000 
 2,2000,+18,0.000000 
 2,2000,+19,0.000000 
 2,2000,+20,0.000000 
 2,2000,+21,0.000000 
 2,2000,+22,0.000000 
 2,2000,+23,0.000000 
 2,2000,+24,20.000000 
 2,2000,+25,20.000000 
 2,2000,+26,20.000000 
